time,x,y,z
0.000000,11.0,0.0,0.11
0.008333,10.907827820819596,-0.02333703094449846,0.11
0.016667,10.815655641639193,-0.04667406188899681,0.11
0.025000,10.723483462458791,-0.07001109283349521,0.11
0.033333,10.631311283278388,-0.09334812377799362,0.12359218063102091
0.041667,10.539139104097984,-0.11668515472249197,0.1527871007887761
0.050000,10.446966924917582,-0.14002218566699037,0.1813007709465313
0.058333,10.354794745737179,-0.16335921661148872,0.20913319110428646
0.066667,10.262622566556775,-0.18669624755598713,0.23628436126204175
0.075000,10.170450387376372,-0.2100332785004855,0.2627542814197969
0.083333,10.07827820819597,-0.23337030944498388,0.28854295157755216
0.091667,9.986106029015566,-0.2567073403894823,0.3136503717353073
0.100000,9.893933849835163,-0.28004437133398064,0.3380765418930626
0.108333,9.80176167065476,-0.30338140227847904,0.3618214620508177
0.116667,9.709589491474357,-0.3267184332229774,0.384885132208573
0.125000,9.617417312293954,-0.3500554641674758,0.40726755236632817
0.133333,9.52524513311355,-0.37339249511197414,0.4289687225240834
0.141667,9.433072953933149,-0.39672952605647255,0.4499886426818386
0.150000,9.340900774752745,-0.42006655700097095,0.4703273128395938
0.158333,9.248728595572342,-0.4434035879454693,0.489984732997349
0.166667,9.156556416391938,-0.4667406188899677,0.5089609031551042
0.175000,9.064384237211536,-0.49007764983446606,0.5272558233128594
0.183333,8.972212058031133,-0.5134146807789645,0.5448694934706146
0.191667,8.880039878850729,-0.5367517117234628,0.5618019136283698
0.200000,8.787867699670326,-0.5600887426679613,0.5780530837861251
0.208333,8.695695520489924,-0.5834257736124596,0.5936230039438802
0.216667,8.60352334130952,-0.606762804556958,0.6085116741016355
0.225000,8.511351162129117,-0.6300998355014564,0.6227190942593906
0.233333,8.419178982948715,-0.6534368664459548,0.6362452644171459
0.241667,8.327006803768311,-0.6767738973904531,0.6490901845749011
0.250000,8.234834624587908,-0.7001109283349516,0.6612538547326564
0.258333,8.142662445407504,-0.7234479592794499,0.6727362748904115
0.266667,8.050490266227103,-0.7467849902239483,0.6835374450481668
0.275000,7.958318087046699,-0.7701220211684465,0.6936573652059219
0.283333,7.866145907866295,-0.793459052112945,0.7030960353636772
0.291667,7.773973728685892,-0.8167960830574434,0.7118534555214324
0.300000,7.68180154950549,-0.8401331140019418,0.7199296256791876
0.308333,7.5896293703250866,-0.8634701449464401,0.7273245458369427
0.316667,7.497457191144683,-0.8868071758909386,0.734038215994698
0.325000,7.40528501196428,-0.9101442068354371,0.7400706361524532
0.333333,7.313112832783878,-0.9334812377799353,0.7454218063102085
0.341667,7.220940653603474,-0.9568182687244337,0.7500917264679636
0.350000,7.128768474423071,-0.9801552996689321,0.7540803966257188
0.358333,7.036596295242668,-1.0034923306134305,0.7573878167834741
0.366667,6.944424116062265,-1.0268293615579287,0.7600139869412295
0.375000,6.852251936881862,-1.0501663925024272,0.7619589070989845
0.383333,6.760079757701459,-1.0735034234469256,0.7632225772567398
0.391667,6.6679075785210555,-1.096840454391424,0.7638049974144951
0.400000,6.575735399340653,-1.1201774853359223,0.7637061675722503
0.408333,6.483563220160249,-1.1435145162804208,0.7629260877300054
0.416667,6.391391040979848,-1.166851547224919,0.7614647578877607
0.425000,6.299218861799443,-1.1901885781694177,0.7593221780455157
0.433333,6.2070466826190405,-1.213525609113916,0.756498348203271
0.441667,6.114874503438637,-1.2368626400584142,0.7529932683610264
0.450000,6.022702324258235,-1.2601996710029124,0.7488069385187816
0.458333,5.930530145077831,-1.283536701947411,0.7439393586765368
0.466667,5.838357965897428,-1.3068737328919093,0.738390528834292
0.475000,5.7461857867170245,-1.3302107638364078,0.7321604489920471
0.483333,5.654013607536623,-1.3535477947809063,0.7252491191498025
0.491667,5.561841428356218,-1.3768848257254047,0.7176565393075575
0.500000,5.469669249175816,-1.4002218566699032,0.7093827094653129
0.508333,5.377497069995413,-1.4235588876144014,0.7004276296230683
0.516667,5.285324890815009,-1.4468959185589,0.6907912997808232
0.525000,5.193152711634606,-1.4702329495033983,0.6804737199385785
0.533333,5.100980532454203,-1.4935699804478966,0.6694748900963338
0.541667,5.008808353273801,-1.5169070113923948,0.6577948102540888
0.550000,4.916636174093398,-1.540244042336893,0.6454334804118442
0.558333,4.8244639949129935,-1.5635810732813917,0.6323909005695992
0.566667,4.732291815732591,-1.58691810422589,0.6186670707273546
0.575000,4.640119636552188,-1.6102551351703882,0.6042619908851099
0.583333,4.547947457371785,-1.633592166114887,0.5891756610428651
0.591667,4.455775278191382,-1.6569291970593851,0.5734080812006204
0.600000,4.363603099010978,-1.6802662280038834,0.5569592513583754
0.608333,4.271430919830576,-1.703603258948382,0.5398291715161307
0.616667,4.179258740650173,-1.7269402898928803,0.5220178416738859
0.625000,4.08708656146977,-1.750277320837379,0.5035252618316408
0.633333,3.994914382289367,-1.7736143517818772,0.48435143198939623
0.641667,3.9027422031089642,-1.7969513827263754,0.4644963521471519
0.650000,3.81057002392856,-1.8202884136708741,0.44396002230490694
0.658333,3.718397844748157,-1.8436254446153724,0.422742442462662
0.666667,3.6262256655677545,-1.8669624755598706,0.40084361262041734
0.675000,3.534053486387352,-1.8902995065043688,0.3782635327781725
0.683333,3.441881307206949,-1.913636537448867,0.35500220293592766
0.691667,3.3497091280265447,-1.9369735683933658,0.33105962309368286
0.700000,3.257536948846142,-1.960310599337864,0.3064357932514379
0.708333,3.1653647696657394,-1.9836476302823627,0.2811307134091936
0.716667,3.073192590485335,-2.006984661226861,0.2551443835669487
0.725000,2.9810204113049323,-2.030321692171359,0.2284768037247038
0.733333,2.8888482321245297,-2.053658723115858,0.20112797388245918
0.741667,2.796676052944127,-2.076995754060356,0.17309789404021414
0.750000,2.7045038737637244,-2.1003327850048543,0.14438656419796958
0.758333,2.61233169458332,-2.123669815949353,0.11499398435572461
0.766667,2.5201595154029173,-2.1470068468938512,0.11
0.775000,2.4279873362225146,-2.1703438778383495,0.11
0.783333,2.335815157042111,-2.193680908782848,0.11
0.789249,2.2703860587505362,-2.2102468715828874,0.11
0.797582,2.2021870684313454,-2.242075582063132,0.11
0.805915,2.1339880781121545,-2.273904292543377,0.11
0.814249,2.065789087792964,-2.305733003023622,0.11
0.822582,1.9975900974737733,-2.3375617135038667,0.11
0.830915,1.9293911071545824,-2.369390423984112,0.11
0.839249,1.8611921168353918,-2.4012191344643568,0.11
0.847582,1.7929931265162011,-2.4330478449446016,0.11
0.855915,1.7247941361970103,-2.4648765554248464,0.11
0.864249,1.6565951458778194,-2.4967052659050912,0.114893474860597
0.872582,1.5883961555586288,-2.528533976385336,0.1242531665117745
0.880915,1.5201971652394382,-2.560362686865581,0.13293160816295196
0.889249,1.4519981749202473,-2.5921913973458257,0.14092879981412945
0.897582,1.3837991846010564,-2.6240201078260705,0.14824474146530692
0.905915,1.3156001942818658,-2.6558488183063154,0.15487943311648442
0.914249,1.247401203962675,-2.68767752878656,0.16083287476766192
0.922582,1.1792022136434843,-2.7195062392668055,0.16610506641883943
0.930915,1.1110032233242935,-2.75133494974705,0.17069600807001692
0.939249,1.0428042330051028,-2.783163660227295,0.1746056997211944
0.947582,0.974605242685912,-2.81499237070754,0.1778341413723719
0.955915,0.9064062523667213,-2.8468210811877848,0.18038133302354947
0.964249,0.8382072620475305,-2.8786497916680296,0.18224727467472698
0.972582,0.7700082717283399,-2.9104785021482744,0.1834319663259045
0.980915,0.701809281409149,-2.9423072126285192,0.18393540797708205
0.989249,0.6336102910899584,-2.974135923108764,0.18375759962825958
0.997582,0.5654113007707675,-3.0059646335890093,0.1828985412794371
1.005915,0.4972123104515769,-3.0377933440692537,0.18135823293061465
1.014249,0.429013320132386,-3.069622054549499,0.17913667458179222
1.022582,0.3608143298131954,-3.101450765029744,0.17623386623296977
1.030915,0.29261533949400453,-3.1332794755099886,0.17264980788414735
1.039249,0.22441634917481368,-3.1651081859902335,0.16838449953532492
1.047582,0.15621735885562327,-3.1969368964704783,0.1634379411865025
1.055915,0.08801836853643241,-3.228765606950723,0.15781013283768008
1.064249,0.019819378217241557,-3.260594317430968,0.15150107448885763
1.066671,0.0,-3.2698440914851385,0.14953983581607705
