time_sec,fit_x_m,fit_y_m,fit_z_m
-0.029868584825916398,0.0,11.0,0.0
-0.02153524905949303,0.019761926019541506,10.865497594047788,0.041402396911247745
-0.013201913293069665,0.03952385203908299,10.730995188095578,0.08212354342468517
-0.004868577526646298,0.059285778058624485,10.596492782143367,0.12216343954031232
0.003464758239777068,0.07904770407816597,10.461990376191155,0.1615220852581292
0.011798094006200435,0.09880963009770746,10.327487970238943,0.2001994805781358
0.0201314297726238,0.11857155611724896,10.192985564286731,0.2381956255003321
0.028464765539047168,0.13833348213679045,10.05848315833452,0.27551052002471815
0.03679810130547054,0.15809540815633194,9.923980752382308,0.3121441641512939
0.045131437071893904,0.17785733417587343,9.789478346430096,0.3480965578800594
0.05346477283831727,0.19761926019541493,9.654975940477886,0.3833677012110146
0.06179810860474064,0.21738118621495642,9.520473534525674,0.41795759414415956
0.070131444371164,0.2371431122344979,9.385971128573463,0.4518662366794942
0.07846478013758737,0.25690503825403943,9.25146872262125,0.48509362881701845
0.08679811590401074,0.2766669642735809,9.11696631666904,0.5176397705567326
0.0951314516704341,0.29642889029312236,8.982463910716827,0.5495046618986364
0.10346478743685747,0.3161908163126639,8.847961504764616,0.58068830284273
0.11179812320328084,0.33595274233220535,8.713459098812404,0.6111906933890132
0.1201314589697042,0.35571466835174687,8.578956692860194,0.6410118335374861
0.12846479473612757,0.37547659437128833,8.444454286907982,0.670151723288149
0.13679813050255094,0.39523852039082985,8.30995188095577,0.6986103626410013
0.1451314662689743,0.4150004464103713,8.175449475003559,0.7263877515960434
0.15346480203539767,0.43476237242991284,8.040947069051347,0.7534838901532752
0.16179813780182103,0.4545242984494543,7.906444663099135,0.7798987783126967
0.1701314735682444,0.4742862244689958,7.771942257146923,0.8056324160743082
0.17846480933466777,0.4940481504885373,7.637439851194713,0.8306848034381092
0.18679814510109113,0.5138100765080788,7.502937445242501,0.8550559404040999
0.1951314808675145,0.5335720025276203,7.36843503929029,0.8787458269722803
0.20346481663393787,0.5533339285471617,7.233932633338078,0.9017544631426507
0.21179815240036123,0.5730958545667032,7.0994302273858665,0.9240818489152106
0.2201314881667846,0.5928577805862447,6.964927821433655,0.9457279842899602
0.22846482393320797,0.6126197066057862,6.830425415481443,0.9666928692668995
0.23679815969963133,0.6323816326253278,6.695923009529231,0.9869765038460285
0.2451314954660547,0.6521435586448692,6.56142060357702,1.0065788880273472
0.25346483123247804,0.6719054846644106,6.4269181976248095,1.0255000218108559
0.2617981669989014,0.6916674106839521,6.292415791672598,1.043739905196554
0.27013150276532477,0.7114293367034936,6.157913385720386,1.0612985381844418
0.27846483853174814,0.7311912627230351,6.023410979768174,1.0781759207745198
0.2867981742981715,0.7509531887425765,5.888908573815963,1.094372052966787
0.29513151006459487,0.7707151147621181,5.754406167863752,1.1098869347612441
0.30346484583101824,0.7904770407816596,5.61990376191154,1.124720566157891
0.3117981815974416,0.8102389668012011,5.485401355959328,1.1388729471567274
0.32013151736386497,0.8300008928207425,5.350898950007117,1.1523440777577538
0.32846485313028834,0.849762818840284,5.216396544054906,1.16513395796097
0.3367981888967117,0.8695247448598256,5.081894138102694,1.1772425877663757
0.34513152466313507,0.8892866708793671,4.947391732150482,1.188669967173971
0.35346486042955844,0.9090485968989085,4.812889326198271,1.1994160961837563
0.3617981961959818,0.92881052291845,4.6783869202460595,1.2094809747957314
0.37013153196240517,0.9485724489379915,4.543884514293848,1.2188646030098957
0.37846486772882854,0.9683343749575329,4.409382108341636,1.22756698082625
0.3867982034952519,0.9880963009770745,4.274879702389425,1.2355881082447941
0.39513153926167527,1.0078582269966159,4.140377296437213,1.2429279852655282
0.40346487502809864,1.0276201530161575,4.005874890485002,1.2495866118884518
0.411798210794522,1.047382079035699,3.87137248453279,1.2555639881135647
0.42013154656094537,1.0671440050552405,3.736870078580579,1.260860113940868
0.42846488232736873,1.086905931074782,3.6023676726283673,1.2654749893703603
0.4367982180937921,1.1066678570943234,3.4678652666761556,1.269408614402043
0.44513155386021547,1.126429783113865,3.333362860723944,1.2726609890359146
0.45346488962663883,1.1461917091334064,3.198860454771733,1.2752321132719766
0.4617982253930622,1.1659536351529478,3.0643580488195212,1.2771219871102284
0.47013156115948557,1.1857155611724894,2.9298556428673095,1.2783306105506693
0.47846489692590893,1.2054774871920308,2.7953532369150977,1.2788579835933005
0.4867982326923323,1.2252394132115723,2.660850830962887,1.278704106238121
0.49513156845875567,1.245001339231114,2.526348425010675,1.2778689784851316
0.5034649042251791,1.2647632652506555,2.3918460190584625,1.2763526003343317
0.5117982399916025,1.284525191270197,2.2573436131062508,1.2741549717857217
0.5201315757580258,1.3042871172897386,2.122841207154039,1.2712760928393014
0.5284649115244492,1.32404904330928,1.9883388012018273,1.2677159634950705
0.5367982472908726,1.3438109693288214,1.8538363952496173,1.26347458375303
0.5451315830572959,1.363572895348363,1.7193339892974056,1.2585519536131784
0.5534649188237193,1.3833348213679044,1.5848315833451938,1.2529480730755171
0.5617982545901427,1.4030967473874458,1.450329177392982,1.2466629421400452
0.570131590356566,1.4228586734069875,1.3158267714407703,1.2396965608067632
0.5784649261229894,1.4426205994265289,1.1813243654885586,1.2320489290756709
0.5867982618894128,1.4623825254460703,1.0468219595363468,1.223720046946768
0.5951315976558361,1.482144451465612,0.9123195535841351,1.214709914420055
0.6034649334222595,1.5019063774851533,0.7778171476319251,1.2050185314955322
0.6117982691886829,1.521668303504695,0.6433147416797134,1.1946458981731984
0.6201316049551062,1.5414302295242364,0.5088123357275016,1.183592014453055
0.6284649407215296,1.5611921555437778,0.3743099297752899,1.1718568803351006
0.636798276487953,1.5809540815633194,0.23980752382307813,1.1594404958193365
0.6451316122543763,1.6007160075828608,0.10530511787086638,1.146342860905762
0.6534649480207997,1.6204779336024022,-0.029197288081345363,1.132563975594377
0.661798283787223,1.6402398596219439,-0.1636996940335571,1.118103839885182
0.6701316195536464,1.6600017856414853,-0.2982020999857671,1.1029624537781766
0.6784649553200698,1.6797637116610267,-0.4327045059379788,1.0871398172733606
0.6867982910864932,1.6995256376805683,-0.5672069118901906,1.070635930370735
0.6951316268529165,1.7192875637001097,-0.7017093178424023,1.0534507930702985
0.7034649626193399,1.7390494897196513,-0.8362117237946141,1.0355844053720524
0.7117982983857633,1.7588114157391928,-0.9707141297468258,1.0170367672759952
0.7201316341521866,1.7785733417587342,-1.1052165356990375,0.9978078787821283
0.72846496991861,1.7983352677782758,-1.2397189416512493,0.9778977398904507
0.7367983056850334,1.8180971937978172,-1.3742213476034593,0.9573063506009634
0.7451316414514567,1.8378591198173586,-1.508723753555671,0.9360337109136654
