time_sec,x_m,y_m,z_m,ray_gap_m,reprojection_error_px,kept_after_filter
0.12499999999999961,-0.3017523328757643,9.286027840585904,0.5200659778108316,0.08484982237576208,11.54324196664872,True
0.14166666666666627,-0.3670571181079003,9.096376693063341,0.5551605959263861,0.09268455990210779,12.43661245858482,True
0.15833333333333294,-0.4266768434289405,8.899537142593319,0.5890469539917591,0.09333343459504158,12.347344355838139,True
0.1749999999999996,-0.48100876237794665,8.702772292231426,0.6180152015256797,0.097502336295109,12.718265301609527,True
0.19166666666666626,-0.5426667847423481,8.515085462532536,0.6452467573388698,0.1035453571151593,13.327497851359029,True
0.20833333333333293,-0.6059479125573906,8.325820119532537,0.6784447645629044,0.09519882968550834,12.092658816887472,True
0.2249999999999996,-0.6707612872161883,8.135351909227625,0.7047961005752268,0.10388100498281196,13.022405543979419,True
0.24166666666666625,-0.729404201474575,7.94294717885498,0.7225717154162163,0.11413386253225112,14.11848359845097,True
0.2583333333333329,-0.7893170678398396,7.759957215853757,0.7458435895216842,0.12695255643367306,15.511760055235174,True
0.2749999999999996,-0.8501013727116065,7.571702438977895,0.7409396671135902,0.09266615913351252,11.173470580782574,True
0.29166666666666624,-0.9120038948797133,7.386794182276605,0.7540419682297889,0.1092050802222023,13.006566580121586,True
0.3083333333333329,-0.9751544206553842,7.201220660721761,0.7036585507911861,0.009583385616497925,1.1255708531668818,True
0.32499999999999957,-1.0322354300545498,7.014116715666458,0.7054871726254632,0.001946862966351888,0.2258451951111668,True
0.34166666666666623,-1.099573718674312,6.834785656436947,0.5797703869850097,0.25624034506769194,29.27856155157277,True
0.3583333333333329,-1.1645954472927929,6.64858601438081,0.5757152467822517,0.26475019660304494,29.886362237304706,True
0.37499999999999956,-1.2516250154155077,6.489016176068947,0.3139279761469881,0.7866083922032386,87.40185139580241,True
0.3916666666666662,-1.31501131279891,6.306599002210748,0.3116014234621677,0.7894197283758044,86.71399911569046,True
0.4083333333333329,-1.3297895346482527,6.09419955131522,0.7976439709075327,0.1952204305217147,21.420336795875397,True
0.42499999999999954,-1.384170759006612,5.914099042526219,0.7935566423490141,0.20472174236633578,22.216264747865527,True
0.4416666666666662,-1.4447831933743136,5.732399574962151,0.7395981702133725,0.1204323375892146,12.9080842432185,True
0.45833333333333287,-1.502083547489248,5.556945958902926,0.7277018760164784,0.12436963341711947,13.188793684471221,True
0.47499999999999953,-1.5631802545948879,5.372342377523684,0.6244693232070839,0.0568343421663717,5.946162719999585,True
0.4916666666666662,-1.6178081636578665,5.190479296957668,0.6100377661323386,0.05732110816266917,5.93273883329333,True
0.5083333333333329,-1.6922525158978732,5.016544218150866,0.4117149870330474,0.42059663123791885,42.910447289526005,True
0.5249999999999995,-1.7535874302058034,4.836781010961002,0.3900934190981867,0.41637223342837476,42.03913683469674,True
0.5416666666666662,-1.8916829990784034,4.798240587664105,-0.2748411841655774,1.73075962777989,173.0358255695735,False
0.5583333333333329,-1.9520733609096905,4.625580198066967,-0.31201375115446783,1.7544820668149268,173.69746320709226,False
0.6083333333333328,-2.1269563704585113,4.102428260885117,-0.43981010719301217,1.8195973967211263,174.93719769418254,False
0.6249999999999996,-2.069782112556895,3.7552369984530856,0.5323372073229036,0.237081273873633,22.648664554408924,True
0.6416666666666662,-2.1271898117073653,3.5802437495217427,0.49836093858879915,0.23983328516003627,22.68632137043162,True
0.6583333333333328,-2.182704501508838,3.405501088601051,0.46630935986549304,0.2371502484947912,22.214886408399337,True
0.6749999999999994,-2.2334491567733727,3.2323663270501113,0.43262434279849116,0.24650971938896246,22.87112921491412,True
0.6916666666666662,-2.285827442965661,3.0603202645137326,0.39718492645440384,0.2614178911062715,24.025811916788477,True
0.7083333333333328,-2.342707065726424,2.8870229634835667,0.35091572534108195,0.26896266075480213,24.482929467678375,True
0.7249999999999994,-2.400612175824874,2.7115349509491384,0.2971286048859574,0.2678398494119532,24.144527736798572,True
0.741666666666666,-2.454880615187279,2.539105906361713,0.24486249850229036,0.26093697328490434,23.300726601201823,True
0.7583333333333329,-2.5085046828143787,2.3592383124104783,0.19090611245487343,0.25737455442158846,22.759486729393277,True
0.7749999999999995,-2.565890551138745,2.186371229307513,0.13049666757641276,0.26736449108330956,23.422577827841117,True
0.7916666666666661,-2.6231825973934435,2.0130350992007466,0.06742896829966472,0.2765720133149552,24.004618576002503,True
0.8083333333333327,-2.679085455761327,1.8297721460979357,0.00618378124857355,0.27175425339226533,23.359155599940294,True
0.8249999999999995,-2.738527243988659,1.6575624324142924,-0.039862942921054856,0.2376846781173238,20.250098865712218,True
0.8416666666666661,-2.793599486763605,1.5152359447436856,-0.04201295017279105,0.20110892634724636,17.017275317055933,True
0.8583333333333327,-2.832978173649656,1.4095487123236747,-0.009912474597134513,0.20455922752555022,17.2299064911088,True
0.8749999999999993,-2.8638662808591646,1.289924180930334,0.03640774046635964,0.19822477053986334,16.61217581921385,True
0.8916666666666662,-2.897492282864877,1.1691835616348047,0.07090009322576707,0.20601576560620996,17.176071111456757,True
0.9083333333333328,-2.930826803667391,1.0520325774596726,0.10322339830537597,0.22132673255918126,18.3613983453473,True
0.9249999999999994,-2.973342436655296,0.938001745799121,0.13706291089297384,0.23451612885963566,19.364571883499202,True
0.941666666666666,-3.0150681298308037,0.8382592430580287,0.16100647638749221,0.2626999555967431,21.603683677855336,True
0.9583333333333328,-3.0487108049499465,0.728286335181191,0.17780878734010241,0.27237865354797924,22.29628763217902,True
0.9749999999999994,-3.083015621154558,0.6059042860467141,0.1925145864571859,0.2697560020778773,21.967969740759415,True
0.991666666666666,-3.115382833759547,0.48537405525252897,0.21126832757334235,0.2742345534953049,22.222863046823626,True
1.0083333333333326,-3.1529224041511483,0.35652444881243817,0.22729603655973707,0.27411917881256703,22.097749794223297,True
1.0249999999999995,-3.1889374278485207,0.23182154700390534,0.23729903632136795,0.27635488314657125,22.16598515351657,True
1.041666666666666,-3.219430115412331,0.11613533946880317,0.24818962454420734,0.27283325989196155,21.783175611895,True
1.0583333333333327,-3.254571066089036,0.02035146353906825,0.25570621516875924,0.2715119598559514,21.598170753029432,True
1.0749999999999993,-3.2789805523332376,-0.08934297192032403,0.25559249277390905,0.277667915660648,21.99094642503524,True
1.0916666666666661,-3.3065709418868585,-0.20437213572896162,0.25484700743841393,0.281721760176562,22.211081777544717,True
1.1083333333333327,-3.34353996796504,-0.31656558969267046,0.2537887612765317,0.29030279300485323,22.79131254551921,True
1.1249999999999993,-3.3765682874220473,-0.42995673056178774,0.24797195614195167,0.2930406390534891,22.906991057962696,True
1.141666666666666,-3.405892877737217,-0.5391014494672319,0.23976796629455277,0.2857511752502374,22.243500803614786,True
1.1583333333333328,-3.4377151526618834,-0.64242471662185,0.23136256380862386,0.28846194490521376,22.368899005782797,True
1.1749999999999994,-3.467143539192933,-0.7383159811864122,0.21734848109183824,0.29997912660042186,23.17944206543383,True
1.191666666666666,-3.488179039635104,-0.8258313370388457,0.1979666448277856,0.303266956669174,23.35276901864992,True
1.2083333333333326,-3.513491874939573,-0.9231532865440037,0.17362956715107392,0.29942368098845734,22.968175079648283,True
1.2249999999999992,-3.5456735496858394,-1.0349533761424983,0.14785579771480817,0.2941338369044337,22.466389408601913,True
1.241666666666666,-3.5772712820288968,-1.148979050109201,0.12129083422728693,0.28956134732258354,22.02233424810963,True
1.2583333333333326,-3.608655299358332,-1.2636298589360777,0.0937682001639637,0.2862661826892912,21.67922574822133,True
1.2749999999999992,-3.6408111067458924,-1.3744408655719873,0.06412332517136088,0.28725509861473225,21.666420962373905,True
1.291666666666666,-3.6648662921054864,-1.4731736017713715,0.040703771563892155,0.2908894603830213,21.86281839411195,True
1.3083333333333327,-3.6847737059531904,-1.565307344062795,0.01573641232878331,0.29559165390371755,22.14129749811928,True
1.3249999999999993,-3.738682569174602,-1.6826060044324933,-0.2099381720545398,0.05606382134759871,4.15823987881065,True
1.341666666666666,-3.7585625474946656,-1.77399672476413,-0.24220587726462395,0.06153853310962097,4.548184001337985,True
1.3583333333333325,-5.055791058773824,3.8720062123298886,-0.40589143152407126,1.078936760839997,105.70221301652168,False
1.3749999999999993,-5.793848975757571,7.386017668329504,-0.4178690759031296,1.898745118286247,238.19584950634817,False
1.391666666666666,-5.8389744560758885,7.344796529249802,-0.5362181835023854,1.6880346748105823,210.92917597715427,False
1.4083333333333325,-1.079980514780274,7.256540153038385,-0.02055335207139608,0.297392646383846,34.6104538196339,False
1.4249999999999994,3.2593446860617323,9.339652257076562,0.8356068708798301,0.031815188466754546,17.197760506430004,False
1.441666666666666,3.118231611217417,9.436322642843228,0.8365170466679894,0.04006705680458178,19.088258913195084,True
1.4583333333333326,2.976289243462814,9.533265934048627,0.8369556127269395,0.04761009064031692,20.95223625389989,True
1.4749999999999992,2.7632774987218522,9.533784617512424,0.8432890029416987,0.08665823276845984,14.47417397371944,True
1.4916666666666658,2.3781808543502945,9.319582444127882,0.833660305676933,0.1392321312836753,19.87211763755642,True
1.5083333333333326,1.9205294717859656,9.041909704407335,0.810637732135433,0.18130849101549512,24.878834497024826,True
1.5249999999999992,1.4132733486848736,8.736682721920129,0.7794727451377639,0.2165543154613326,28.74274928344672,False
1.5416666666666659,0.8787155896365921,8.43393019230951,0.7456312862980099,0.24977355513526098,32.23404869786724,False
1.5583333333333327,0.33001467338585977,8.149344013189811,0.7126062626648382,0.28453481242300077,35.84010339026021,False
1.5749999999999993,-0.2292776728729109,7.886360918833977,0.6813025478588202,0.3217787812208001,39.67297862570195,False
1.591666666666666,-0.7989139382243966,7.644778089612919,0.6513944154668383,0.3607963761075967,43.65813956729902,False
1.6083333333333325,-1.3776977926263991,7.425548421816084,0.622357849407118,0.40023473535657006,47.678878692791926,False
1.6249999999999991,-1.96192364709372,7.231970605261395,0.5940234014146447,0.4388813216525412,51.661507336438746,False
1.641666666666666,-2.546086730549711,7.068473021428381,0.5667715059373171,0.47628714938558914,55.61971491045604,False
1.6583333333333325,-3.1250620574508656,6.9382541316440305,0.5413626804782614,0.5129777366502424,59.649997645799004,False
1.6749999999999992,-3.6959383309417784,6.8415666098897345,0.5185281312108313,0.5500796796460876,63.88381122011178,True
1.691666666666666,-4.257626131180407,6.775981103023267,0.49856416264263204,0.5884635948763206,68.42282572917942,True
1.7083333333333326,-4.806470494856575,6.739493020080144,0.4810476981431776,0.6273122101046557,73.26783330541852,True
1.7249999999999992,-5.3262533796472225,6.73703845507661,0.46479715200243593,0.6620742856107096,78.25418509376946,True
1.7416666666666658,-5.783487502526675,6.782258537717404,0.4487058037627205,0.6852772212922937,83.15302845526872,True
1.7583333333333324,-6.0128391917113655,6.974987262411319,0.4492254987334052,0.6981973960578094,87.56876113958448,True
1.7749999999999992,-6.075866702233874,7.252750352332817,0.46569186098027415,0.7141182723183452,91.92533724286287,True
1.7916666666666659,-6.132864466355953,7.5008434155762655,0.48008983674853034,0.72987170854667,96.3618481837258,True
1.8083333333333325,-6.183466745634824,7.719766279692486,0.4908749942428559,0.7421172826691684,100.36724659018002,False
1.8249999999999993,-6.149734274044128,7.520583507798032,0.4823557629075994,0.7285571395662238,96.54737277389768,True
1.841666666666666,-5.911714957561333,6.307907719478902,0.41763781540942685,0.6620525967995923,78.99164371095547,False
1.8583333333333325,-5.601908756659112,4.747948836611221,0.32766339343429957,0.5896288548573767,63.212847254250434,False
1.8749999999999991,-5.250593143208649,3.011109676373299,0.23084814503004225,0.5157487946152881,49.75827830603792,False
1.8916666666666657,-4.84804474542275,1.0556058716141425,0.12444671874937152,0.4356343832611776,37.76859688203653,False
1.9083333333333325,-4.383892318383875,-1.1995993966725553,-0.0007897682627920899,0.34349943113223863,26.73543832239931,False
1.9249999999999992,-4.063146197681871,-2.7612749427259846,-0.09043465775952952,0.2828962482128989,20.602766224229992,False
1.9416666666666658,-4.1435134433764755,-2.3477363694482936,-0.06839375052821994,0.3108148136995152,23.020982662580145,True
1.9583333333333326,-4.221443098728294,-1.942405163455879,-0.04756996746567432,0.3366059660008376,25.35402666812957,True
1.9749999999999992,-4.2976434900159575,-1.5461288243593678,-0.027244112309408264,0.3619040141988955,27.722013143812088,True
1.9916666666666658,-4.37261226409424,-1.1593676648030318,-0.009636179672177447,0.38241447044532795,29.786328043631592,True
2.0083333333333324,-4.4471209330445625,-0.782959483527959,0.00535736974962242,0.39854618637133665,31.561930984257774,True
2.024999999999999,-4.5200779929286465,-0.4151186402300837,0.02110923598494463,0.4167037062382948,33.554523162345475,True
