played_at,csv_id,csv_name,result,keeper_touched,event_time_seconds
"2026-07-18 16:47:55","c8d9733ab1e04117ae5228d550f507ee","penalty_curved_right_trajectory.csv","扑出",true,0.360
"2026-07-18 16:48:02","c8d9733ab1e04117ae5228d550f507ee","penalty_curved_right_trajectory.csv","扑出",true,0.480
"2026-07-18 16:48:07","c8d9733ab1e04117ae5228d550f507ee","penalty_curved_right_trajectory.csv","扑出",true,0.480
"2026-07-18 17:12:45","48081b7c67b646fd9560821f741aa4a4","penalty_bottom_right_trajectory.csv","扑出",true,0.700
"2026-07-18 17:19:42","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:19:45","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:19:53","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:19:56","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:01","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:07","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:11","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:15","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:19","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:24","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:29","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:33","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:38","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:43","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:46","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:49","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:53","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:20:57","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:21:00","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:21:03","1f49fe7898044785a6ee21f429a5e3fe","penalty_bottom_left_trajectory.csv","进球",false,0.580
"2026-07-18 17:29:54","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:29:58","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:01","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:10","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:13","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:18","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:22","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:28","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:31","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:34","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:37","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:41","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:43","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:46","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:49","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:52","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:54","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:55","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:30:59","4d4edf7f76a4441b8fb13ba66926a4b3","penalty_bottom_left_trajectory.csv","进球",false,0.280
"2026-07-18 17:31:11","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","进球",true,0.480
"2026-07-18 17:31:16","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","被扑出",true,0.500
"2026-07-18 17:31:18","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","进球",true,0.460
"2026-07-18 17:31:21","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","进球",true,0.480
"2026-07-18 17:31:24","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","进球",true,0.480
"2026-07-18 17:31:27","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","被扑出",true,0.500
"2026-07-18 17:31:28","a52204218a174986aba07ba010c9f5ef","penalty_bottom_right_trajectory.csv","进球",true,0.480
