time_sec,x_m,y_m,z_m,ray_gap_m,reprojection_error_px
0.0,0.5246212928510325,7.491054373430851,0.6757822603217136,0.2970561222858035,36.242038747258036
0.016666666666666666,0.47723769864088694,7.386507282869257,0.6783943709013377,0.2406679597887768,28.95570428910451
0.03333333333333333,0.41929523122047824,7.258156519481,0.6814205241628464,0.1737410859117184,20.623448200872097
0.05,0.34998228536381104,7.10310435939862,0.683035156266749,0.11071571090419494,12.965266537647153
0.06666666666666667,0.26440672218961003,6.909567428086301,0.6846699618756246,0.048292156338177544,5.580773476772158
0.08333333333333333,0.18078613521913692,6.71676269339293,0.6850824762205109,0.021230234016534785,2.4215318533768357
0.1,0.1115943944911206,6.560265364083531,0.5792687483938022,0.024030446555570267,2.7054553910308616
0.11666666666666667,0.07186249240651518,6.4585792030886395,0.37278726863887623,0.15603228744405556,17.356182275261283
0.13333333333333333,0.07699063876279025,6.431076029948643,0.06505350283460057,0.20109939413927364,22.100963770089145
0.25,0.1411839625825978,6.496853325336526,-0.3397350884959948,2.9557376353632487,328.35897379698304
0.26666666666666666,0.2532905577548365,6.605531781888118,-0.6269962399270994,2.8332545799941173,317.1672480305707
0.2833333333333333,0.3963720345116057,6.740233578253998,-0.7979470493449021,2.7203520632596794,306.97573273571356
0.3,0.5535149461836641,6.883065839944026,-0.8509090999195552,2.62621373598117,299.0511738030206
0.31666666666666665,0.7088790894835556,7.015351975140665,-0.7884658215399314,2.5572441176187644,294.1734104333291
0.3333333333333333,0.8604218073449367,7.151792948148576,-0.7201787274878183,2.4911197820442443,289.66563189273677
0.35,1.0092410140982142,7.2902971010148585,-0.6487590722918171,2.438533694745622,286.6207510706989
0.36666666666666664,1.155037034605279,7.430045897336629,-0.5775103837441528,2.3730544600343295,282.02163410502067
0.3833333333333333,1.2983100443867996,7.570077133189523,-0.508103534281112,2.3047516491780424,276.9578655589009
0.4,1.4391210583483829,7.710266403804365,-0.44075379055778735,2.23691651061277,271.92205672559226
0.4166666666666667,1.5776445410459086,7.850369337989884,-0.37562593447746456,2.1516150070776656,264.7505781761109
0.43333333333333335,1.715914095034449,7.988646400270981,-0.31188127919922376,2.074116767131786,258.2427168734796
0.45,1.8539725301044339,8.124825832915048,-0.24908628911415603,2.0008221788307945,252.08368940168543
0.4666666666666667,1.9912841189101138,8.258829291665847,-0.18711867994507986,1.92735608713988,245.78855282773807
0.48333333333333334,2.1264660435462224,8.390984621539742,-0.12585709417347257,1.8536701105019857,239.3449179303134
0.5,2.258033008252732,8.521442393985616,-0.06577863653810154,1.7772580788753791,232.43278713091308
0.5166666666666666,2.3851527001330783,8.649577485148448,-0.007127528359569868,1.6989031908911383,225.1079154070137
0.5333333333333333,2.5070012657571805,8.77459499022246,0.0499827542585186,1.6147145102445855,216.8863292707951
0.55,2.6240519383556675,8.89473589024488,0.1054191457295198,1.5290112708136872,208.14694351940156
0.5666666666666667,2.7307504608350133,9.003646518064297,0.15662955301764753,1.4467853440280913,199.71277368701823
0.5833333333333334,2.822432450585037,9.09525075750605,0.2006803113065291,1.363708078678954,190.94092727997656
0.6,2.896038908007488,9.164839602598246,0.2344158826165338,1.2792106776771153,181.66251017788449
0.6166666666666667,2.9481192889382997,9.209046793789645,0.2548897518542405,1.2772655027699402,181.5575487816014
0.6333333333333333,2.985631968489246,9.236099916658809,0.26484258201613947,1.2722622754520225,181.0215344217959
0.65,3.0150801761540276,9.253941074621657,0.2671929257398956,1.270822018668219,181.35191869314602
0.6666666666666666,3.0410565579039592,9.268218343328835,0.26528587770402373,1.266777154124054,181.2902092357004
0.6833333333333333,3.0679704002338806,9.283994110697375,0.26252508829165533,1.265744883175136,181.6626399919703
0.7,3.095188923991124,9.30012958364353,0.2591070672359548,1.2618827959477872,181.6205685375441
0.7166666666666667,3.1219967350173063,9.315580993944144,0.2554261397055785,1.2559455036730764,181.2784020366775
0.7333333333333333,3.148426781134186,9.33025975203551,0.2516616290242733,1.2529450584832544,181.3479450810773
0.75,3.174172406668882,9.344239107093367,0.2475764408650347,1.246990493516709,180.97737194650372
0.7666666666666666,3.1988960152903525,9.357624755835221,0.24333984800352254,1.24406866252,181.0534218189514
0.7833333333333333,3.2222318807955217,9.370503629884938,0.23895735784297,1.239693931314115,180.91948064381148
0.8,3.2438722843864736,9.382914175670695,0.23456944393522752,1.2290002967050457,179.85872373296007
0.8166666666666667,3.2636427943174313,9.394825255890662,0.23085312954883955,1.221962159563089,179.35563900138231
0.8333333333333334,3.2785811989936606,9.404074317621527,0.22825992205393408,1.2186297511418025,179.42731316646848
0.85,3.2902395195789342,9.41141345889203,0.22662648563145593,1.2190703802341853,180.09525394130532
0.8666666666666667,3.29904822561958,9.417215832530351,0.22585231886410018,1.2215004936774492,181.13711392798498
