time_sec,obs_x_m,obs_y_m,obs_z_m,fit_x_m,fit_y_m,fit_z_m,residual_m,fit_reprojection_error_px,ray_gap_m,reprojection_error_px,is_inlier
0.0,0.5246212928510325,7.491054373430851,0.6757822603217136,0.3853582246886267,7.506732929238565,0.9647803625740892,0.3211851839230711,83.58659266474298,0.2970561222858035,36.242038747258036,True
0.016666666666666666,0.47723769864088694,7.386507282869257,0.6783943709013377,0.3936708975422958,7.431378662768196,0.9210667503904645,0.2605508294878395,63.816676853912384,0.2406679597887768,28.95570428910451,True
0.03333333333333333,0.41929523122047824,7.258156519481,0.6814205241628464,0.4019835703959649,7.356024396297829,0.8746281382068399,0.21727171246554336,47.384819554152664,0.1737410859117184,20.623448200872097,True
0.05,0.34998228536381104,7.10310435939862,0.683035156266749,0.410296243249634,7.2806701298274605,0.8254645260232154,0.23548567199102505,40.74410726628371,0.11071571090419494,12.965266537647153,True
0.06666666666666667,0.26440672218961003,6.909567428086301,0.6846699618756246,0.4186089161033031,7.205315863357092,0.7735759138395907,0.34518070900259884,46.82806394739394,0.048292156338177544,5.580773476772158,True
0.08333333333333333,0.18078613521913692,6.71676269339293,0.6850824762205109,0.4269215889569722,7.129961596886725,0.7189623016559662,0.4821450383512635,59.755630022787706,0.021230234016534785,2.4215318533768357,True
0.1,0.1115943944911206,6.560265364083531,0.5792687483938022,0.4352342618106413,7.054607330416356,0.6616236894723415,0.5965727782227841,75.44793032676549,0.024030446555570267,2.7054553910308616,True
0.11666666666666667,0.07186249240651518,6.4585792030886395,0.37278726863887623,0.4435469346643104,6.979253063945988,0.6015600772887169,0.6794023785461178,95.69663621517614,0.15603228744405556,17.356182275261283,True
0.13333333333333333,0.07699063876279025,6.431076029948643,0.06505350283460057,0.4518596075179795,6.90389879747562,0.5387714651050923,0.7671354645726892,115.80756644405645,0.20109939413927364,22.100963770089145,True
0.25,0.1411839625825978,6.496853325336526,-0.3397350884959948,0.5100483174936632,6.376418932183043,0.022951179819720002,0.5311371617604844,323.0130586142762,2.9557376353632487,328.35897379698304,True
0.26666666666666666,0.2532905577548365,6.605531781888118,-0.6269962399270994,0.5183609903473323,6.301064665712675,-0.06163743236390462,0.6946892401327667,307.8267460206614,2.8332545799941173,317.1672480305707,True
0.2833333333333333,0.3963720345116057,6.740233578253998,-0.7979470493449021,0.5266736632010014,6.225710399242307,-0.1489510445475291,0.8383963444710133,296.54661078463783,2.7203520632596794,306.97573273571356,True
0.3,0.5535149461836641,6.883065839944026,-0.8509090999195552,0.5349863360546705,6.15035613277194,-0.2389896567311538,0.9548048121629465,291.46008714642994,2.62621373598117,299.0511738030206,True
0.31666666666666665,0.7088790894835556,7.015351975140665,-0.7884658215399314,0.5432990089083396,6.075001866301571,-0.3317532689147784,1.0584240388437773,294.151123475913,2.5572441176187644,294.1734104333291,True
0.3333333333333333,0.8604218073449367,7.151792948148576,-0.7201787274878183,0.5516116817620087,5.999647599831203,-0.427241881098403,1.2282567293870124,302.43220523098034,2.4911197820442443,289.66563189273677,True
0.35,1.0092410140982142,7.2902971010148585,-0.6487590722918171,0.5599243546156778,5.9242933333608345,-0.5254554932820276,1.4432794345968343,317.26518131367607,2.438533694745622,286.6207510706989,True
0.36666666666666664,1.155037034605279,7.430045897336629,-0.5775103837441528,0.5682370274693469,5.848939066890467,-0.6263941054656521,1.68719372803113,336.0119433513561,2.3730544600343295,282.02163410502067,True
0.3833333333333333,1.2983100443867996,7.570077133189523,-0.508103534281112,0.576549700323016,5.773584800420099,-0.7300577176492767,1.9487396838667366,359.17579999732857,2.3047516491780424,276.9578655589009,True
0.4,1.4391210583483829,7.710266403804365,-0.44075379055778735,0.5848623731766851,5.69823053394973,-0.8364463298329017,2.2214001954647795,387.00738124729247,2.23691651061277,271.92205672559226,True
0.4166666666666667,1.5776445410459086,7.850369337989884,-0.37562593447746456,0.5931750460303542,5.622876267479363,-0.9455599420165263,2.5011458051737216,417.048622505159,2.1516150070776656,264.7505781761109,True
0.43333333333333335,1.715914095034449,7.988646400270981,-0.31188127919922376,0.6014877188840233,5.5475220010089945,-1.057398554200151,2.785108703059321,450.27614431991594,2.074116767131786,258.2427168734796,True
0.45,1.8539725301044339,8.124825832915048,-0.24908628911415603,0.6098003917376924,5.472167734538626,-1.1719621663837756,3.071849472486609,486.1787537650028,2.0008221788307945,252.08368940168543,True
0.4666666666666667,1.9912841189101138,8.258829291665847,-0.18711867994507986,0.6181130645913615,5.396813468068258,-1.2892507785674,3.3602720844829665,524.0859426513048,1.92735608713988,245.78855282773807,True
0.48333333333333334,2.1264660435462224,8.390984621539742,-0.12585709417347257,0.6264257374450306,5.321459201597889,-1.4092643907510245,3.6495536045530095,563.6247271491508,1.8536701105019857,239.3449179303134,True
0.5,2.258033008252732,8.521442393985616,-0.06577863653810154,0.6347384102986997,5.246104935127522,-1.5320030029346492,3.9386209152139404,604.294011093006,1.7772580788753791,232.43278713091308,True
0.5166666666666666,2.3851527001330783,8.649577485148448,-0.007127528359569868,0.6430510831523688,5.1707506686571545,-1.6574666151182733,4.226200795550219,645.7907606070214,1.6989031908911383,225.1079154070137,True
0.5333333333333333,2.5070012657571805,8.77459499022246,0.0499827542585186,0.6513637560060379,5.095396402186786,-1.7856552273018984,4.5110375322254095,687.8762663463007,1.6147145102445855,216.8863292707951,True
